ID;Title;Type;Document
L;Linking;Description;"L: Linking
Linking refers to any act of associating different data elements to each other (incl. metadata) in such a way that it leads to undesirable privacy implications. This means that the combination of related data items will reveal (additional) information about a data subject (or groups of data subjects). By matching several data items based on recurring attributes or properties, a user profile (or group profile) can be built. Simply put, linking means learning more about an individual (or a group) by matching related data items together. Linking typically relies on a recurring identifier, a combination of attributes (quasi-identifiers) or profile that allows data to be singled out. This means that one can be confident it all belongs to the same individual (without necessarily revealing the individual's identity). In addition, linking can also be applied to data of several individuals by matching similar properties in order to learn additional information about the group as a whole.\r\n\r\nMany systems may require linking data items to meet functional requirements (e.g., keep track of a user's session so they do not need to provide their login credentials for every request). However, `Linking' threat analysis looks at situations in which this ability to tie things together, to learn or infer additional properties is considered problematic or undesirable.
Examples:
Linking refers to the process of associating different data items (incl. metadata) in a manner that results in undesirable privacy implications. Combining related data items may reveal (additional) information about a data subject or groups of data subjects.
Impact:
Linking becomes problematic when it can result in inference (learning more about individuals), singling out individuals, aggregating additional data to build profiles, etc. This may subsequently give rise to other threats, such as identifying."
L.1;Linked data;Description;"L.1: Linked data
Linking through identifiers"
L.1.1;Unique identifier;Description;"L.1.1: Unique identifier
Linking based on an identifier that is unique (globally or locally, within the system or across the context boundary)
Examples:
Using an email address as an identifier enables the linking of all activities to the same individual, even across multiple services.|An IP address can be used to link multiple visits to the same individual.|All product views in a web shop are linked to the same user because they are logged in.|User IDs can be used to link different requests to the same user.
Impact:
Unique identifiers facilitate the linking of new data items to a user profile, accumulating growing amounts of personal data associated with this profile. This can later lead to `Identifying' threats."
L.2;Linkable data;Description;"L.2: Linkable data
Linking through the combination or analysis of data"
L.2.1;Through Combination;Description;"L.2.1: Through Combination
Linking through combination"
L.2.1.1;Quasi-identifier combining data of a single individual;Description;"L.2.1.1: Quasi-identifier combining data of a single individual
Linking through a set of attributes that can serve as a quasi-identifier
Examples:
A small set of locations can be used to uniquely link activity to a single user.|A subset of attributes may be sufficient to uniquely link data to a particular individual.|A browser fingerprint combines properties (OS, browser, display size, ...) that together are unique to a website visitor.|Fine-grained raw data is stored that enables linking specific entries to individuals.
Impact:
The use of quasi-identifiers enables the linking of new data items to a user profile to gather increasing amounts of personal data, even without unique identifiers."
L.2.1.2;Combining data of different individuals;Description;"L.2.1.2: Combining data of different individuals
Linking through combining data
Examples:
Relations in a social network indirectly contain information about individuals not on that social network.|Contact lists that are uploaded to services allow service providers to indirectly reconstruct the social graph of the involved individuals.
Impact:
The combination of records from multiple different sources enables building a more comprehensive profile on an individual."
L.2.2;Through Profiling, derivation, or inference;Description;"L.2.2: Through Profiling, derivation, or inference
Linking through derivation or inference"
L.2.2.1;Profiling an individual;Description;"L.2.2.1: Profiling an individual
Personal data of an individual can be analyzed for patterns to link data to that individual. Association is performed at the basis of the data or user actions.
Examples:
By applying sentiment analysis to faces in pictures, the emotional state of an individual can be derived.|The frequency of data exchanges from a health monitoring device allows an adversary to infer a patient's medical condition.|External service requests may be linked to the same user by inferring they are sent in the context of an ongoing session. |Shopping recommendations sent to consumers are based on the degree of similarity to other consumers.
Impact:
Deriving patterns from the data can facilitate the linking of data that was not intended to be linked.|Timing patterns of messages can be used to link requests to construct profiles.|Indirect links can reveal sensitive data about individuals that are not involved in the original dataset."
L.2.2.2;Profiling a group of individuals;Description;"L.2.2.2: Profiling a group of individuals
Data of a single individual leads to insights about a larger group of individuals. Knowledge transfers to other individuals through known relations of group membership or similarity.
Examples:
Findings obtained through DNA analysis (e.g., genetic predisposition for certain illnesses) by an individual may also apply to their family members.|Readings obtained from an energy consumption meter do not apply to an individual but to households. Consumption patterns obtained for an individual (e.g. heating cost) may be generalized."
L.2.2.3;Profiling an individual through (dis)similarity;Description;"L.2.2.3: Profiling an individual through (dis)similarity
Applying methods to assess uniqueness or similarity to predict relevant properties.
Examples:
Querying the average salary with a strict set of criteria can reveal the salary of an individual employee.|Patterns in a person's writing style can be used to link multiple texts written by the same person.|Unique timing patterns could be recognized to link the use of a service to the same user.|Messages can be analyzed for patterns (e.g., writing style, timing) to link them to the same user.
Impact:
When users are distinguishable from one another, user profiles can be constructed to collect growing amounts of personal data associated with each profile. This can later lead to `Identifying' threats."
I;Identifying;Description;"I: Identifying
Personal data is by definition related to a data subject. Many systems may require identification of data subjects to meet their system goals. `Identifying' threats however express situations in which the identity of the data subject can be learned through leaks, can be deduced, or inferred when this is unwanted and to be prevented.
Examples:
A key distinction is made between threats in the context of identified data (where there is an explicit link), and identifiable data (where the link can be derived based on a pseudonym, identity-revealing content, or a small set of potential subjects, known as the anonymity set, that allow (re-)identification).
Impact:
It can be undesirable to know the identity. Working with identified data records requires additional protective measures and can lead to other threats such as unawareness and non-compliance."
I.1;Identified information;Description;"I.1: Identified information
Identified Information is requested or processed."
I.1.1;Processing of identified data;Description;"I.1.1: Processing of identified data
The system requests and processes identified data
Examples:
An online service requests full name and address during the registration process.|The username for a service contains identity data (e.g., ``firstname.lastname'').
Impact:
Identified data can severely amplify the impact of a future data breach.|Depending on the context, the identity may reveal very sensitive attributes (e.g., health records)."
I.1.2;Identified information in metadata;Description;"I.1.2: Identified information in metadata
The metadata of files or communication involves identified information.
Examples:
A software product for authoring documents may automatically insert author information in the metadata of the produced documents.
Impact:
The presence of identifying data in metadata may lead to the unintentional identification of a data subject."
I.2;Identifiable information;Description;"I.2: Identifiable information
The system processes identifiable information from which the identity of the data subject may be derived."
I.2.1;Pseudonym;Description;"I.2.1: Pseudonym
The data contains unique references to the identity of the data subject."
I.2.1.1;Identifier;Description;"I.2.1.1: Identifier
The data contains a unique reference to the identity of the data subject.
Examples:
The (re)use of an email address facilitates easy combination with other data, leading to the identification of the individual.|IP addresses in communication can be used to uniquely identify an individual.|Globally unique identifiers (e.g., SSN) are replaced by internal ids. These are still tied to the actual identity.
Impact:
Pseudonyms facilitate the aggregation of data on the same individual (see linking). Storing a substantial amount of data increases the possibility of identifying the individual behind it."
I.2.1.2;Quasi-identifier;Description;"I.2.1.2: Quasi-identifier
The data contains combinations of attributes that are unique to a data subject.
Examples:
Browser fingerprinting entails the combination of various properties to create a unique identifier, serving as a pseudonym for the user.|A dataset removes names and reduces addresses to cities. Nevertheless, a combination of various attributes (city, birth date, language preference, etc.) could still be adequate to identify individuals."
I.2.2;Revealing attributes;Description;"I.2.2: Revealing attributes
A number of revealing attributes are included in the data which support the identification of the data subject.
Examples:
When an individual shares detailed data (such as location, employer, device type, etc.) in a feedback form, the provided information may be revealing enough to uniquely identify that person.
Impact:
Inadvertently providing identifiable attributes in user-submitted data can lead to the unintentional identification of the individual."
I.2.3;The data subject is distinguishable from others;Description;"I.2.3: The data subject is distinguishable from others
The anonymity set is too small, which allows singling out an individual data subject.
Examples:
User search queries, such as looking up nearby businesses or info about a rare illness, can be highly specific and may lead to identification.|A person's consistent access at a particular time each week could link their visits even when they are not logged into their account.|An individual's gait can be used to uniquely identify them.|Queries with a very small result set could deliver results unique to a particular individual.|Authentication with biometrics (e.g., fingerprint or iris) work based on being able to uniquely link these biometric properties to a single user.|The use of facial recognition processing on, for example, profile images can enable the derivation of attributes that can be combined to identify the depicted individual.
Impact:
Even without identity information, user actions or data may be very specific and unintentionally reveal the identity."
Nr;Non-repudiation;Description;"Nr: Non-repudiation
Non-repudiation threats represent outcomes in which an individual is not able to deny certain claims specifically about their involvement in the system, or more broadly any claim pertaining themselves, as a consequence of the data collected, shared or an action taken by the individual (or other individuals) in the system.\r\n\r\nNon-repudiation threats for a claim involve two key elements: (i) the system maintains evidence or proof of a fact or action related to an individual, impacting the plausible deniability (e.g., logfiles from an involved party that could be tampered with, or digital signatures providing strong guarantees of the authenticity of the evidence), (ii) that evidence is attributable to an individual. Both evidences can have varying strength which will result in a varying non-repudiation threat impact.
Examples:
The system retains evidence related to a particular action or fact, influencing the ability to deny claims. Examples of this evidence include log files, digital signatures, document metadata, and watermarked data, all of which can be attributed to an individual.
Impact:
Non-repudiation threats impact the plausible deniability of individuals, rendering them unable to refute specific actions or involvements, such as submitting a whistleblower report or casting a vote for someone."
Nr.1;Attributable data evidence;Description;"Nr.1: Attributable data evidence
A data record or message is (or can be) attributed to a user or data subject."
